iteration	loss	n_p	w_0	w_1	ID	y	yhat
0	-0.765019767166473	0	-1	3	3HEW_A	0.0	0.5346752672680538
1	-0.03151362785110543	14	-0.9999999992851661	3.0000000007144085	5GGD_B	1.0	0.9689777512792419
2	-0.19628875243345673	2	-0.9999999992851661	3.0000000007144085	3S6V_B	0.0	0.17822508908935125
3	-0.5853966077223892	99	-1.0002229938421054	2.9999667844542333	1QKM_A	1.0	0.5568849531351302
4	-0.29941957677668857	280	-1.0011932024231756	2.9998103471294852	5NF5_B	1.0	0.7412483335929398
5	-0.7530695306024128	44	-1.0002458777451269	3.0000810306450916	1X07_A	0.0	0.5290811678002236
6	-1.2862187172178858	9	-1.0080495507132499	2.9975348441087233	4F8K_B	1.0	0.2763136301695617
7	-0.07945690874538848	6	-1.0080495507132499	2.9975348441087233	7DE0_D	0.0	0.0763821810382934
8	-0.62611100350748	0	-1.0080495507132499	2.9975348441087233	2NS9_B	1.0	0.5346670814164797
9	-0.34135860981284116	41	-1.0086061409089944	2.9976865942043154	3ZX1_A	1.0	0.7108039612203965
10	-0.1507022192265037	122	-1.0094046358751083	2.99748803358346	1S52_B	0.0	0.13989621710140962
11	-0.07896312717023601	58	-1.0094110945478025	2.997459792705192	6P5O_A	1.0	0.9240739970400886
12	-1.4933872289952064	18	-1.0081578998394176	2.9957989188192458	4JYX_H	0.0	0.7753894418263351
13	-0.6041767534016467	97	-1.0082918555159304	2.9957349555808053	7MKC_A	0.0	0.45347583434845623
14	-0.6927495993011209	82	-1.0030055418365866	2.9969957590690792	7CJ1_D	1.0	0.5001988301523642
15	-1.5599212997605796	102	-1.0034015643021046	2.997076317544271	5NU3_A	0.0	0.789847390389341
16	-0.62611100350748	0	-1.0034015643021046	2.997076317544271	3GMS_A	1.0	0.5346670814164797
17	-0.15752048433999669	78	-1.0034276307096377	2.9970628468854774	6DAB_A	0.0	0.14574068550899216
18	-0.07985058585415056	19	-1.003426438267906	2.9970635732390196	3ZMJ_A	0.0	0.0767457166683404
19	-1.2268209098990657	4	-1.0034852977387017	2.9970284476545146	6XPJ_C	0.0	0.7067767192682854
20	-0.2737471002570903	5	-1.0041327641446807	2.9967441331212883	6ROC_B	1.0	0.7605243873640573
21	-0.31107030208610736	1	-1.0041327641446807	2.9967441331212883	4ORH_L	0.0	0.2673376336340269
22	-0.48397080656604746	3	-1.0041327644381552	2.996744132827971	5JSI_B	0.0	0.3836688055263252
23	-0.765019767166473	0	-1.0041327644381552	2.996744132827971	6PSH_A	0.0	0.5346752672680538
24	-0.6861884313664288	4	-1.0056217393542335	2.9966191769476587	6CU2_A	0.0	0.4965084912257541
25	-0.4515242040632951	807	-1.0059124836953224	2.996519917855447	5IMK_B	1.0	0.6366570164942653
26	-0.44206734709864737	39	-1.0064462765556117	2.996281046232757	5RSB_B	1.0	0.6427063495900317
27	-1.231778784735597	1704	-1.0046022538087303	2.9966007002214554	5TPN_L	0.0	0.7082268857508677
28	-1.7247232921755897	2	-1.0046022538087303	2.9966007002214554	4J07_E	1.0	0.1782223604721599
29	-0.05556861953741093	20	-1.005614710454184	2.9964950944383824	2ZXB_B	1.0	0.9459471109901497
30	-0.31107030208610736	1	-1.005614710454184	2.9964950944383824	1IQZ_A	0.0	0.2673376336340269
31	-0.31107030208610736	1	-1.005614710454184	2.9964950944383824	1R1G_B	0.0	0.2673376336340269
32	-0.1685499606334682	2	-1.0056147111790914	2.996495093828501	4HP3_C	1.0	0.844889051172263
33	-0.4343799642923267	37	-1.0091087738132793	2.9954083913829876	3FPM_A	0.0	0.35233388127174403
34	-0.12896535245353544	10	-1.0107258200589015	2.9948621047408928	1KG7_A	0.0	0.1209955796355151
35	-0.3936461969396368	213	-1.010622841335251	2.9949144198446063	4O9R_A	1.0	0.6745926869809643
36	-0.585153611415475	91	-1.0131857374067066	2.9943326757126747	6YG0_A	1.0	0.5570202905647
37	-1.2536213503701958	65	-1.0150000817850804	2.993401962078777	4XRX_B	0.0	0.7145308610201416
38	-0.62611100350748	0	-1.0150000817850804	2.993401962078777	2V9K_A	1.0	0.5346670814164797
39	-0.652802577879658	8	-1.0186748134511803	2.9926583752550915	6VIK_B	0.0	0.47941524890969495
40	-0.12367528252731466	3	-1.0186748128141203	2.992658375887924	4OZ5_A	1.0	0.8836667363295648
41	-0.298915383835601	10	-1.015252552253549	2.992908486617125	7LQX_A	1.0	0.7416221600027296
42	-0.09768628744216584	4	-1.0152525515642672	2.992908487304007	6ITD_A	1.0	0.9069333755194247
43	-0.42530038690135	48	-1.0142474205283065	2.992948120601867	5SVW_D	1.0	0.6535734307425153
44	-1.3099880295790338	7	-1.003746148216273	2.993553707280233	4NK5_F	0.0	0.7301767137363216
45	-0.43069901950143524	95	-1.004704070197113	2.9932688013318858	6F5Q_A	1.0	0.6500545350717837
46	-1.4581669477264185	1	-1.004704070197113	2.9932688013318858	5K7H_B	0.0	0.767337633634027
47	-0.5069881470653564	30	-1.005570304151959	2.9929247241517674	7BOL_A	0.0	0.39769309045480994
48	-0.32934550036039784	144	-1.0054087556284406	2.99298599774778	3UPI_B	1.0	0.7193944227725583
49	-0.19628875243345673	2	-1.0054087556284406	2.99298599774778	1Q88_B	0.0	0.17822508908935125
50	-0.33976434514762277	25	-1.00529873702893	2.9930399465695348	7CZD_D	1.0	0.7119380746579446
51	-0.24683016429675728	5	-1.0082127744671068	2.9919250960151236	5B70_D	1.0	0.7812733703767076
52	-0.62611100350748	0	-1.0082127744671068	2.9919250960151236	1QDM_C	1.0	0.5346670814164797
53	-0.765019767166473	0	-1.0082127744671068	2.9919250960151236	4PDY_A	0.0	0.5346752672680538
54	-1.0369511422922328	837	-1.0097642364373085	2.9917859217727587	3VO3_A	0.0	0.6454660405640942
55	-0.1883931592641796	25	-1.0097678342978373	2.991783702632401	2YC0_A	1.0	0.8282889937169353
56	-0.8106696008363383	105	-1.0133212587027212	2.991197223721632	7A2T_A	0.0	0.5554397114030538
57	-0.5468569536777379	32	-1.011524691236815	2.991639864103454	3TNX_C	1.0	0.5787660431167699
58	-0.09768624249523636	4	-1.011524691236815	2.991639864103454	2ZVZ_B	1.0	0.906933416283296
59	-0.3669812266694134	33	-1.0150751127696362	2.990708815847892	4BN5_L	1.0	0.6928226515109787
60	-0.9330772605454296	981	-1.01450939314702	2.990892613699761	4R1Y_A	0.0	0.6066585679895505
61	-0.7474097281954003	3	-1.0353145511766124	2.9887402820853533	5E76_A	0.0	0.5264083034532653
62	-0.765019767166473	0	-1.0353145511766124	2.9887402820853533	3JS8_A	0.0	0.5346752672680538
63	-0.06363631938785046	212	-1.0358038974627803	2.988643285101422	5MIK_A	0.0	0.06165380419736799
64	-0.2648337081144504	1	-1.0358038974627803	2.988643285101422	6CB7_A	1.0	0.7673335407082398
65	-0.2648337081144504	1	-1.0358038974627803	2.988643285101422	1A7E_A	1.0	0.7673335407082398
66	-1.7247232921755897	2	-1.0358038974627803	2.988643285101422	5BRK_B	1.0	0.1782223604721599
67	-0.2648337081144504	1	-1.0358038974627803	2.988643285101422	3LTI_A	1.0	0.7673335407082398
68	-1.3223155661511057	192	-1.0372319592006798	2.988216740607042	1RU7_L	0.0	0.733482551880351
69	-0.45624769303793905	3	-1.0372301412639455	2.9882178549518508	6K5K_D	1.0	0.633656865264968
70	-0.6177359797946325	25	-1.0400374403413597	2.9879619307076255	5L9N_A	0.0	0.4608362655937586
71	-0.02479608978571728	18	-1.0400374406535955	2.9879619304829954	2IHJ_A	1.0	0.9755088079592532
72	-0.17197287773078146	17	-1.0431421560633058	2.987116024306157	6XXK_B	0.0	0.15799799013599888
73	-0.6759343835400581	6	-1.0450202268006121	2.9867926209417317	5ILU_A	0.0	0.4913191045751323
74	-0.3890538229814573	1792	-1.0444119503708489	2.9868943750081334	3I50_L	1.0	0.6776977933165743
75	-0.31107030208610736	1	-1.0444119503708489	2.9868943750081334	7KAG_B	0.0	0.2673376336340269
76	-0.09768627256273431	4	-1.044411949898467	2.9868943754800665	1USF_B	1.0	0.9069333890140778
