iteration	loss	n_i	w_0	w_1	ID	y	yhat
0	-0.02334487452735837	133	-1.0000387671782502	2.9999817504773016	1A5G_L	0.0	0.02307449105356232
1	-0.062864746979297	50	-1.0001787758508391	2.999912108641818	5BMG_H	0.0	0.06092952278116902
2	-0.000691943795917187	41	-1.0001787758508391	2.999912108641818	3ZMF_C	0.0	0.0006917044580147672
3	-0.011042322213062504	458	-1.0001807434709178	2.9999111893845996	2HJO_A	0.0	0.010981579558706397
4	-0.0024239008787018926	11	-1.0001807434709178	2.9999111893845996	4C80_A	0.0	0.002420965603051685
5	-0.0013213993562816342	21	-1.0001807434709178	2.9999111893845996	2XBK_A	0.0	0.0013205266925736465
6	-0.009731055931999707	2	-1.0001807434709178	2.9999111893845996	2QVM_A	0.0	0.00968386241220674
7	-0.009731055931999707	2	-1.0001807434709178	2.9999111893845996	5XEB_C	0.0	0.00968386241220674
8	-0.029481940049237265	0	-1.0001807434709178	2.9999111893845996	3FZ4_A	0.0	0.029051587236620224
9	-0.029481940049237265	0	-1.0001807434709178	2.9999111893845996	3SKZ_B	0.0	0.029051587236620224
10	-0.00485369133150788	5	-1.0001807434709178	2.9999111893845996	1JIF_B	0.0	0.00484193120610337
11	-0.0010380953215696428	27	-1.0001807434709178	2.9999111893845996	6X6I_AAA	0.0	0.0010375566870221508
12	-0.16964049616396537	12	-1.0001768047746007	2.9999116649701847	3VQ1_D	0.0	0.15603182814029923
13	-0.0007451900784176738	38	-1.0001768047746007	2.9999116649701847	3VP4_A	0.0	0.0007449124932466724
14	-0.014632325860560347	1	-1.0001768047746007	2.9999116649701847	4H5G_B	0.0	0.014525793618310112
15	-0.005827263013035162	4	-1.0001768047746007	2.9999116649701847	1HB8_C	0.0	0.005810317447324045
16	-0.029481940049237265	0	-1.0001768047746007	2.9999116649701847	1WDU_B	0.0	0.029051587236620224
17	-0.02661035705853359	2020	-1.0002150677016601	2.99990136666518	6L8T_L	0.0	0.026259421240167426
18	-0.0005482934407884866	52	-1.0002150677016601	2.99990136666518	4H1T_F	0.0	0.0005481431554079288
19	-0.7098562724875777	15	-1.0091490794601434	2.999558876726137	3LLQ_B	0.0	0.5082851346631996
20	-0.0032331752199965336	8	-1.0091490794601434	2.999558876726137	7CVU_D	0.0	0.003227954137402247
21	-6.24701416940242	14	-1.0091490794601434	2.999558876726137	2OKV_D	1.0	0.0019362267590030723
22	-0.0015302010679082057	18	-1.0091490794601434	2.999558876726137	1BZO_A	0.0	0.001529030907190538
23	-0.005827263013035162	4	-1.0091490794601434	2.999558876726137	3IDC_B	0.0	0.005810317447324045
24	-0.0017103787604579104	16	-1.0091490794601434	2.999558876726137	3Q3L_F	0.0	0.001708916896271778
25	-0.014632325860560347	1	-1.0091490794601434	2.999558876726137	2AZK_B	0.0	0.014525793618310112
26	-0.0018173746275922317	15	-1.0091490794601434	2.999558876726137	1D3W_A	0.0	0.001815724202288764
27	-0.0014536353779875724	19	-1.0091490794601434	2.999558876726137	5L9F_B	0.0	0.0014525793618310112
28	-0.005025318381387215	746	-1.0091180604684162	2.9995660112283473	1GDX_A	0.0	0.005012712593842002
29	-0.014632325860560347	1	-1.0091180604684162	2.9995660112283473	5UXG_B	0.0	0.014525793618310112
30	-0.014632325860560347	1	-1.0091180604684162	2.9995660112283473	2QXX_B	0.0	0.014525793618310112
31	-0.004158862841899563	6	-1.0091180604684162	2.9995660112283473	4WWL_A	0.0	0.004150226748088603
32	-0.0006317557599271905	45	-1.0091180604684162	2.9995660112283473	6I4J_G	0.0	0.0006315562442743527
33	-0.0032331752199965336	8	-1.0091180604684162	2.9995660112283473	2WQP_A	0.0	0.003227954137402247
34	-0.01095610582618011	458	-1.0091126243109534	2.999569072129885	6OGB_B	0.0	0.01089630628801199
35	-0.005827263013035162	4	-1.0091126243109534	2.999569072129885	6RMQ_B	0.0	0.005810317447324045
36	-0.014632325860560347	1	-1.0091126243109534	2.999569072129885	2JEX_A	0.0	0.014525793618310112
37	-0.0011179934617268992	25	-1.0091126243109534	2.999569072129885	5UKM_G	0.0	0.0011173687398700087
38	-0.36752820704184774	44	-1.0130649368391018	2.9987343916791622	6GIA_A	0.0	0.30755620525792177
39	-0.017763958498637336	457	-1.0130688019308332	2.998734593970419	1T3R_B	0.0	0.01760710951404776
40	-0.0006054246332764991	47	-1.0130688019308332	2.998734593970419	5J6S_B	0.0	0.0006052414007629213
41	-0.00485369133150788	5	-1.0130688019308332	2.998734593970419	3NB7_A	0.0	0.00484193120610337
42	-0.014632325860560347	1	-1.0130688019308332	2.998734593970419	4NL0_B	0.0	0.014525793618310112
43	-2.5414103384973776	48	-1.0307655201620558	2.9933884346633035	4FMJ_T	1.0	0.07875524986883108
44	-0.007289400049020426	3	-1.0307655201620558	2.9933884346633035	7BQ9_B	0.0	0.007262896809155056
45	-0.014964355311811514	413	-1.0307871328175755	2.993382945958181	2NY4_D	0.0	0.014852945763198065
46	-0.00011089006882685298	261	-1.0307871328175755	2.993382945958181	6YL6_A	0.0	0.00011088392075045887
47	-0.000937587373080579	30	-1.0307871328175755	2.993382945958181	1WDP_A	0.0	0.0009371479753748459
48	-0.004158862841899563	6	-1.0307871328175755	2.993382945958181	5GQF_B	0.0	0.004150226748088603
49	-0.014632325860560347	1	-1.0307871328175755	2.993382945958181	4NSC_F	0.0	0.014525793618310112
50	-0.0026445471194204897	10	-1.0307871328175755	2.993382945958181	4W6Z_D	0.0	0.002641053385147293
51	-0.005827263013035162	4	-1.0307871328175755	2.993382945958181	5BW5_A	0.0	0.005810317447324045
52	-0.0005098068985198729	56	-1.0307871328175755	2.993382945958181	6YVS_D	0.0	0.0005096769690635126
53	-0.0013213993562816342	21	-1.0307871328175755	2.993382945958181	6XT5_B	0.0	0.0013205266925736465
54	-0.04012542523053632	379	-1.0307688553659868	2.99339193759987	3LDZ_G	0.0	0.03933106052757126
55	-0.00485369133150788	5	-1.0307688553659868	2.99339193759987	3LYN_B	0.0	0.00484193120610337
56	-0.030312502399489072	863	-1.0308230761980879	2.9933931112733423	4QCI_L	0.0	0.02985768562847131
57	-0.050813250874352615	21	-1.0310360826100753	2.99332158871785	4ONN_B	0.0	0.049543849185101775
58	-0.007289400049020426	3	-1.0310360826100753	2.99332158871785	1P53_B	0.0	0.007262896809155056
59	-0.0015302010679082057	18	-1.0310360826100753	2.99332158871785	3H5Q_A	0.0	0.001529030907190538
60	-0.029347630543334523	37	-1.031152680622915	2.993331059126721	2OKQ_B	0.0	0.028921170877162648
61	-0.0005482934407884866	52	-1.031152680622915	2.993331059126721	4Q7H_D	0.0	0.0005481431554079288
62	-0.026544547722471567	110	-1.0310727562458644	2.993357404942379	3ECW_D	0.0	0.02619533791056507
63	-0.09638325790935717	102	-1.0313282340299803	2.9933676867134436	6NN4_D	0.0	0.0918840932387348
64	-0.029481940049237265	0	-1.0313282340299803	2.9933676867134436	4XOS_B	0.0	0.029051587236620224
65	-0.0020772694049906695	13	-1.0313282340299803	2.9933676867134436	5LJB_A	0.0	0.0020751133740443016
66	-0.0018173746275922317	15	-1.0313282340299803	2.9933676867134436	5BYF_B	0.0	0.001815724202288764
67	-0.026257387962492114	1849	-1.0312612472945446	2.993370507786388	6U1T_L	0.0	0.0259156602433686
68	-0.0018173746275922317	15	-1.0312612472945446	2.993370507786388	7FD1_A	0.0	0.001815724202288764
69	-0.0014735145991625815	419	-1.0312106451309102	2.993377671415099	4YD4_A	0.0	0.0014724295095561537
70	-0.005827263013035162	4	-1.0312106451309102	2.993377671415099	1X8K_B	0.0	0.005810317447324045
71	-3.53896396830021	0	-1.0312106451309102	2.993377671415099	4WFC_F	1.0	0.029043401385046085
72	-0.005827263013035162	4	-1.0312106451309102	2.993377671415099	4Q95_B	0.0	0.005810317447324045
73	-0.0020772694049906695	13	-1.0312106451309102	2.993377671415099	3R9R_A	0.0	0.0020751133740443016
74	-3.2925794688223995	60	-1.0396769108164932	2.9908687565409457	4FKX_C	1.0	0.03715787808390124
75	-0.04582765088023628	111	-1.0396255221558128	2.990926139134348	2FM0_D	0.0	0.0447934229825616
76	-0.016662326246367657	36	-1.039032889602918	2.9909775196507407	6EV8_A	0.0	0.016524277489656857
77	-0.014632325860560347	1	-1.039032889602918	2.9909775196507407	3HLK_B	0.0	0.014525793618310112
78	-0.00485369133150788	5	-1.039032889602918	2.9909775196507407	1OD9_A	0.0	0.00484193120610337
79	-0.038184611398872755	691	-1.03910638710916	2.990989777512744	3B8Q_B	0.0	0.037464770487253475
80	-0.0022372382319194267	12	-1.03910638710916	2.990989777512744	3SDE_B	0.0	0.0022347374797400173
81	-0.03427630176437002	257	-1.0393010454693448	2.9909406685352864	4FT9_A	0.0	0.033695523882690044
82	-0.004158862841899563	6	-1.0393010454693448	2.9909406685352864	3ZQQ_C	0.0	0.004150226748088603
83	-0.011848873920139094	88	-1.0393160469339886	2.990938070233232	1JOI_A	0.0	0.01177895244958437
84	-0.0017103787604579104	16	-1.0393160469339886	2.990938070233232	7OJR_A	0.0	0.001708916896271778
85	-0.0010380953215696428	27	-1.0393160469339886	2.990938070233232	3TKF_B	0.0	0.0010375566870221508
86	-0.012228748189899412	78	-1.0392412191961409	2.9909549492276244	5LT0_A	0.0	0.012154280905059387
87	-0.029481940049237265	0	-1.0392412191961409	2.9909549492276244	4OVX_A	0.0	0.029051587236620224
88	-0.029481940049237265	0	-1.0392412191961409	2.9909549492276244	2FUL_F	0.0	0.029051587236620224
89	-0.00026414022047145587	109	-1.0392412191961409	2.9909549492276244	5D9J_A	0.0	0.0002641053385147293
90	-0.014632325860560347	1	-1.0392412191961409	2.9909549492276244	6FC0_B	0.0	0.014525793618310112
91	-0.33503231858747845	9	-1.0367812219459422	2.991803292187017	7D6T_B	0.0	0.2846850319903825
92	-0.0004686838027840443	61	-1.0367812219459422	2.991803292187017	3WAV_A	0.0	0.00046857398768742297
93	-0.0008073143248824668	35	-1.0367812219459422	2.991803292187017	7AS2_A	0.0	0.0008069885343505618
94	-0.0032331752199965336	8	-1.0367812219459422	2.991803292187017	6RLW_EEE	0.0	0.003227954137402247
95	-0.0012639108875106906	22	-1.0367812219459422	2.991803292187017	2GZW_D	0.0	0.0012631124885487054
96	-0.024874287829736323	42	-1.0368284899400557	2.9917864035822483	7CI4_B	0.0	0.024567471938944315
97	-0.04412273233809341	256	-1.0368426621528652	2.991783619398311	5GXV_A	0.0	0.04316348451648936
98	-0.2870949034678343	60	-1.0422120506518333	2.9904259257880295	6QOT_B	1.0	0.7504405060510492
99	-0.009731055931999707	2	-1.0422120506518333	2.9904259257880295	3DWM_B	0.0	0.00968386241220674
100	-0.029481940049237265	0	-1.0422120506518333	2.9904259257880295	1JHJ_A	0.0	0.029051587236620224
