iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
0	0.978	4	-3.0000014813253832	-1.0000572234910787	9.825612490916948	4LFU_A	7.2	6.31	0.111	6.78	0.115	-0.01	12.0	1
1	1.0	0	-3.0000014813253832	-1.0000572234910787	9.825612490916948	6Y0Y_A	7.0	6.8	0.311	6.8	0.311	4.693	8.908	1
2	0.983	9	-3.0000032077936347	-1.000123432871828	9.654710572946474	2Y3G_D	7.5	7.18	0.089	6.85	0.091	-0.01	12.0	1
3	0.987	310	-3.0000048777680566	-1.0001854116175264	9.487225967003402	5SWS_E	7.5	6.823	0.064	6.81	0.064	-0.01	12.0	1
4	0.989	53	-3.0000057613322557	-1.0002164942240774	9.323093116298118	3ESJ_A	7.5	6.633	0.058	6.7	0.058	-0.01	12.0	1
5	0.987	3	-3.000006153415695	-1.0002306777123477	9.162249915574288	5H2G_B	5.0	8.825	0.071	6.87	0.122	0.04	12.0	1
6	0.991	110	-3.0000064776588644	-1.0002381767560333	9.004617172359957	4K6C_B	6.5	7.227	0.047	6.93	0.047	-0.01	12.0	1
7	0.979	2	-3.0000074955001486	-1.000275620561729	8.850137746231553	2F98_D	5.5	6.933	0.144	6.79	0.145	-0.01	12.0	1
8	0.982	14	-3.0000098844377705	-1.0003680886265793	8.698739300085698	6X95_A	7.0	6.987	0.092	6.83	0.092	-0.01	12.0	1
9	0.982	10	-3.0000121640019137	-1.000456289297281	8.550369245528996	5ZZD_B	5.6	6.482	0.098	6.75	0.098	-0.01	12.0	1
10	0.978	6	-3.0000145065210466	-1.000546871446272	8.404965862027433	2WJ4_D	7.0	6.971	0.112	6.82	0.112	-0.01	12.0	1
11	0.987	37	-3.0000160037296824	-1.000600102918838	8.26247237025797	3APN_A	8.0	6.624	0.07	6.89	0.07	-0.01	12.0	1
12	0.99	152	-3.0000167065156846	-1.000621543762177	8.122832720927757	3V1Y_O	4.1	6.989	0.058	6.87	0.058	-0.01	12.0	1
13	0.988	62	-3.0000176504752702	-1.0006504879141096	7.9859827147334705	6MI4_B	8.0	6.74	0.062	6.78	0.062	-0.01	12.0	1
14	0.989	24	-3.0000178180996246	-1.0006528449563135	7.851872061769574	6TSZ_U	5.9	7.694	0.056	6.87	0.059	-0.01	12.0	1
15	0.983	38	-3.000020646503255	-1.0007620571184608	7.720432639481138	3F07_C	5.8	6.671	0.09	6.74	0.09	-0.01	12.0	1
16	0.973	2	-3.0000218346283956	-1.0008056835450063	7.591631174100044	2J16_B	7.5	7.6	0.131	6.82	0.149	-0.01	12.0	1
17	0.987	38	-3.0000228420029735	-1.000838217820977	7.465400976768038	1W9X_A	7.5	7.185	0.067	6.93	0.067	-0.01	12.0	1
18	0.987	19	-3.0000238454599524	-1.0008737291992817	7.341696132774933	6PAM_H	8.3	6.91	0.075	6.83	0.075	-0.01	12.0	1
19	0.983	25	-3.00002585181825	-1.0009469486760396	7.220459647053143	3B3X_B	7.2	6.977	0.083	6.88	0.083	-0.01	12.0	1
20	0.983	2	-3.000028390078358	-1.0010450892621652	7.101648844815586	3OJ7_A	4.5	5.067	0.103	6.69	0.156	-0.01	10.387	1
21	0.978	7	-3.0000305428047356	-1.0011207446691512	6.985211781990237	1QQF_A	7.0	6.988	0.107	6.83	0.108	-0.01	12.0	1
22	0.983	313	-3.0000334679626373	-1.0012286832005788	6.871098312286424	3VXM_E	7.5	6.821	0.086	6.81	0.086	-0.01	12.0	1
23	0.982	9	-3.000035444030879	-1.001295588240292	6.759271051218694	3WBJ_A	8.0	6.89	0.102	6.8	0.102	-0.01	12.0	1
24	0.984	198	-3.0000375890100495	-1.0013681561707513	6.649675820117958	1GV7_A	5.8	5.77	0.077	6.0	0.078	-0.01	12.0	1
25	0.983	150	-3.000040076290652	-1.001454666885374	6.54227108158529	7N2B_B	7.4	6.696	0.083	6.7	0.083	-0.01	12.0	1
26	0.986	10	-3.000040861017467	-1.001477243614444	6.4370283150689716	5YU2_F	8.5	6.155	0.085	6.74	0.088	-0.01	12.0	1
