iteration	loss	n_p	w_0	w_1	c	ID	y	mean	mean_prob	mode	mode_prob	lb	ub	capture
0	0.752	1	-1.5009945551290977	-5.008565742464944	1.993241804481699	5KHN_B	3.5	5.15	0.068	3.5	2.649	3.396	8.438	1
1	0.951	82	-1.5011635642213634	-5.009726502638814	1.9907679643932161	4JG8_A	7.0	6.892	0.308	7.0	0.51	3.884	9.749	1
2	0.89	107	-1.5015636596931186	-5.013110245096486	1.9871766765574996	7DML_D	7.5	7.518	1.134	7.5	1.163	4.802	9.394	1
3	1.0	0	-1.5015636596931186	-5.013110245096486	1.9871766765574996	7SJY_B	7.5	6.8	0.311	6.8	0.311	4.693	8.908	1
4	0.592	4	-1.5031829069596478	-5.027081644499337	1.9770359962273918	6SIY_B	6.0	6.16	0.474	6.0	4.354	5.813	7.658	1
5	0.995	15	-1.5031622656525745	-5.027013910251719	1.9758049649018175	4WVB_B	5.5	7.844	0.188	7.5	0.515	5.156	10.784	1
6	0.987	152	-1.5031521741087805	-5.026919596396113	1.9744677793668537	2D26_C	8.1	5.811	0.19	5.01	1.168	3.135	8.94	1
7	0.963	18	-1.5031176368185188	-5.026701359461695	1.9732718788528536	3JUX_A	7.5	7.274	0.476	7.0	0.836	5.733	8.72	1
8	0.613	3	-1.5046488472334523	-5.039899053049405	1.9635638105284268	4EJV_B	7.5	7.325	0.315	7.5	4.125	5.713	7.878	1
9	0.916	23	-1.5049350528118293	-5.042429254570243	1.960649699317308	1KWO_C	8.5	7.217	0.334	7.0	1.147	5.864	8.548	1
10	0.906	11	-1.5052852831129502	-5.045418307595471	1.9573639625662953	6SL9_AAA	4.5	6.408	0.151	4.5	1.001	3.751	9.537	1
11	0.995	1	-1.5052852831129502	-5.045418307595471	1.9560114637269084	5X3P_C	8.8	7.15	0.15	7.5	2.94	5.153	8.438	0
12	0.958	6	-1.5052469492799887	-5.045191411666202	1.9548870776300094	7N7H_A	7.0	6.9	0.328	6.5	0.677	5.192	8.817	1
