Column1	Column2
to	
drops	
dt	
v/v	
mother liquor	
as	
ml-1	
ligand	
drop	
see reference	
ml	
s	
or	
stock	
divalents	
peptide	
incubated	
mixed	
complex	
x	
a	
compound	
dtsoaking	
names	
"1,2,3-heptanetriol"	"1,2,3-heptanetriol"
"1,2-propanediol"	"1,2-propanediol"
"1,3-propanediol"	"1,3-propanediol"
"1,4-butanediol"	"1,4-butanediol"
"1,4-dioxane"	"dioxane"
"1,6-hexanediol"	"hexanediol"
1-butanol	1-butanol
1-propanol	propanol
2-hydroxyethyl disulfide	2-hydroxyethyl disulfide
2-mercaptoethanol	2-mercaptoethanol
bme	2-mercaptoethanol
mercaptoethanol	2-mercaptoethanol
"2-methyl-2,4-pentanediol"	"mpd"
2-methyl-2	"mpd"
"/--2-methyl-2,4-pentanediol"	"mpd"
"2-methyl-2,4-pentanediol mpd"	"mpd"
2-propanol	isopropanol
acetate	acetate
acetic acid	acetic acid
acetone	acetone
acetonitrile	acetonitrile
adp	adp
ams	alpha-methylstyrene
amino acids	amino acids
ammonium acetate	ammonium acetate
nh4 oac	ammonium acetate
nh4 ac	ammonium acetate
nh4 acetate	ammonium acetate
nh4-acetate	ammonium acetate
ammonium cl	ammonium chloride
ammonium chloride	ammonium chloride
nh4 cl	ammonium chloride
ammonium citrate	ammonium citrate
ammonium citrate tribasic	ammonium citrate
ammonium citrate dibasic	ammonium citrate
tri ammonium citrate	ammonium citrate
di ammonium hydrogen citrate	ammonium citrate
diammonium hydrogen citrate	ammonium citrate
ammonium fluoride	ammonium fluoride
nh4 f	ammonium fluoride
ammonium formate	ammonium formate
ammonium iodide	ammonium iodide
nh4 i	ammonium iodide
ammonium nitrate	ammonium nitrate
nh4 no3	ammonium nitrate
ammonium phosphate	ammonium phosphate
nh4 h2 po4	ammonium phosphate
ammonium dihydrogen phosphate	ammonium phosphate
ammonium phosphate monobasic	ammonium phosphate
nh42 hpo4	ammonium phosphate
ammonium phosphate dibasic	ammonium phosphate
nh42 hpo4/nah2 po4	ammonium phosphate
di ammonium hydrogen phosphate	ammonium phosphate
ammonium sulfate	ammonium sulfate
ammonium sulphate	ammonium sulfate
nh42 so4	ammonium sulfate
amso4	ammonium sulfate
nh4 so4	ammonium sulfate
am2 so4	ammonium sulfate
ammoniumsulfate	ammonium sulfate
ammonia sulfate	ammonium sulfate
ammonium tartrate dibasic	ammonium tartrate
ammonium tartrate	ammonium tartrate
di ammonium tartrate	ammonium tartrate
diammonium tartrate	ammonium tartrate
amp	amp
amppnp	amp pnp
amp pnp	amp pnp
arginine hcl	arginine
atp	adenosine triphosphate
coh18 n6	azane cobalt
azide	azide
ada	azodicarbonamide
bacl2	barium chloride
bacl	barium chloride
barium chloride	barium chloride
benzamidine	benzamidine
benzamidine hcl	benzamidine
bes	beryllium sulfide
beta mercaptoethanol	2-mercaptoethanol
beta octyl glucoside	beta octyl glucoside
beta octylglucoside	beta octyl glucoside
bicine	bicine
bicine naoh	bicine
sodium bicine	bicine
bicine/trizma base	bicine trizma
bis tris	bis tris
bistris	bis tris
bis tris hcl	bis tris
bis tris:hcl	bis tris
bis/tris	bis tris
bis tris or	bis tris
mes bis tris	bis tris mes
bis tris methane	bis tris methane
bis tris methane hcl	bis tris methane
bis tris propane	bis tris propane
btp	bis tris propane
bistris propane	bis tris propane
bistrispropane	bis tris propane
btprop	bis tris propane
bicine csoh	biscene cesium hydroxide
bog	beta octyl glucoside
cacodylate	cacodylate
cacodylic acid	cacodylic acid
cdcl2	cadmium chloride
cadmium chloride	cadmium chloride
cdcl	cadmium chloride
cd sulfate	cadmium sulfate
cadmium sulfate	cadmium sulfate
cdso4	cadmium sulfate
calcium acetate	calcium acetate
ca acetate	calcium acetate
caoac2	calcium acetate
calcium acetate hydrate	calcium acetate
caac2	calcium acetate
caacetate	calcium acetate
calcium diacetate	calcium acetate
cacl2	calcium chloride
cl2 ca	calcium chloride
calcium chloride	calcium chloride
