condition	w_0_bin	w_1_bin	w_10_cont	w_11_cont	w_20_cont	w_21_cont
method	-11.396664470367652	9.16655388312111				
p_h			-0.0013861720321680937	-0.05314506738712448		
temp			-0.0027106618427590913	-0.07502294664643121		
2-mercaptoethanol (m)	2.6192861103146816	3.9044223258669932	-3.44783852585986e-05	-0.008390556392346194		
acetate (m)	1.2732276298163199	4.035260400194303	-0.0002789353657317122	-0.024146412219286612		
adenosine triphosphate (m)	2.6379857145960997	4.027350441326951	-0.0004554200348264806	-0.004222541424401663		
adp (m)	0.6581237739936788	3.51882938776155	-0.003985642563656033	-0.013485903319488535		
ammonium acetate (m)	2.6234312231083248	4.546827057208535	-8.16683872020954e-05	-0.01297301172355093		
ammonium chloride (m)	0.7890057385292703	3.6630851407869	-3.4284262926933954e-05	-0.0038308998621588886		
ammonium citrate (m)	3.366325112028426	4.269467725924957	-2.2496391761433514e-05	-0.006705297404791282		
ammonium formate (m)	0.8980655669963513	3.169572909651095	-0.001983023308410381	-0.014221197097842506		
ammonium iodide (m)	-1.1278261884855525	1.2297009621662212	-0.019027165610985518	-0.09627027623967778		
ammonium nitrate (m)	2.5097594840410697	4.105739342836274	-0.0013061174441304688	-0.0076082183132223325		
ammonium phosphate (m)	2.8908986088624147	4.203086032607147	-4.9801543748532724e-05	-0.009694207213903851		
ammonium sulfate (m)	3.776310765270732	4.607880014895464	-4.211636828549486e-05	-0.00896510616111821		
ammonium tartrate (m)	2.5903995279653373	3.977622693582484	-0.0071286075816146535	-0.02321418029904134		
azodicarbonamide (m)	-1.6325592378557796	2.2076408249930872	-0.0009274267721096716	-0.02553305740954533		
bicine (m)	2.133845905402331	3.986160137087741	-0.0009067263055870907	-0.04304968132626599		
bis tris (m)	4.09434630578285	4.653084727056197	-0.0001279281617859871	-0.015580020361328205		
bis tris propane (m)	3.2758218288720498	4.346530668881243	-0.00020066580376483086	-0.0198372882646279		
cacodylate (m)	2.798465182997383	3.9132066373146484	-0.0012470828641454954	-0.05047104946727405		
cadmium chloride (m)	2.236139161402681	3.9712090244450424	-6.881363352818124e-05	-0.004281810888438007		
calcium acetate (m)	3.3305822551863713	4.411899879729602	-0.00023759382386387784	-0.02158542095347381		
calcium chloride (m)	3.4671803282941935	4.387995599390681	-2.799272166627047e-05	-0.007607991799251395		
caps (m)	1.7415488728787782	3.6014852094015604	-0.017721505880167507	-0.0770672272211775		
ches (m)	2.6097423393602206	4.210532016138694	-0.0012166930503272624	-0.04929179369308439		
citrate (m)	3.0039709864296387	3.8921071300169183	-0.0003340582758094855	-0.02611974532687437		
citric acid (m)	2.5643527662410017	4.054259413279569	-0.00045449753742986455	-0.030167966781419243		
cobalt chloride (m)	1.8341325587830546	3.5915143074376177	-0.0035958249920304665	-0.01436722595844475		
dimethyl sulfoxide (%)	-0.6829375449758532	2.6321987707307484	-3.1233163693582774e-05	-0.008086978054389762		
dioxane (%)	2.584869660323293	4.12960545753794	-4.537729893654311e-05	-0.009575327982200128		
dithiothreitol (m)	2.164285519317303	4.310725720550216	-1.23877283077519e-06	-0.001516236134275915		
ethanol (%)	3.392568280570489	4.369711597819088	-3.94940679586821e-05	-0.008901013407252033		
ethylene glycol (%)	3.3605761455404775	4.294030262968136	-9.66264544165076e-05	-0.01416751441324482		
ethylenediaminetetraacetic acid (m)	1.3007094070296255	4.136154545153886	-1.3628848047658235e-06	-0.0016891691476355597		
glycerol (%)	3.683709704444862	4.465309416464441	-8.140136835123964e-05	-0.013071617350705427		
glycine (m)	2.13852406755085	3.791792730943121	-8.236547290412523e-05	-0.008717364717725705		
hepes (m)	3.31926122771268	4.580817683607931	-8.616651536016387e-05	-0.01299622318225657		
hexanediol (m)	0.5413532697175591	3.9505152139355433	-0.0315185914351644	-0.07113693207237205		
imidazole (m)	2.9232687384331326	4.157677116901593	-7.1483683392778e-05	-0.012027770686476986		
inhibitor (m)	-0.04293894545077783	3.077365382622862	-7.521353873251873e-05	-0.003960228990442421		
isopropanol (%)	3.3230798299310162	4.377684918752824	-6.403567477821026e-05	-0.011356096538793303		
jeffamine ed-2001 (%)	-0.2403683853893375	2.067645392957386	-0.03679583634606108	-0.09014596264852842		
