ID	n_p
2Z3I_A	8
5OLS_A	2
3G0V_A	6
1QOP_B	52
4R2M_A	3
3PXL_A	26
1ENO_A	28
4GNV_B	11
4GG4_A	22
3THT_A	3
3VE5_A	3
4FKZ_A	9
5AX3_A	328
5F4Y_B	1
3ETO_A	5
4BHK_A	2
3P9J_A	146
4HYQ_A	1
5A8A_A	9
5EEK_A	24
5FTB_A	8
4BFO_A	3
4RZL_A	0
5AP3_A	59
1OE6_B	4
4XD3_G	60
4JWN_A	137
5E11_A	5
3UVX_A	164
4JJA_A	0
1JPY_Y	2
2ID6_A	7
1OX6_A	3
1W90_A	15
5KMH_A	48
3N8U_B	1
4BQL_A	2
5U9I_A	4
1YLL_A	2
6F8B_A	6
4RVP_D	8
3D87_B	9
4O3O_A	51
5GN1_D	2
4HGE_B	133
3SSM_D	1
4I76_B	7
2A90_A	0
5FUT_A	11
2J5W_A	7
1H4N_A	399
4FNA_A	2
5CXJ_A	29
1N0U_A	16
2XML_A	81
1C52_A	5
5MEO_A	512
4EZA_A	2
3EO2_A	2
3QJC_B	151
3N2P_A	371
4CFY_A	115
3DV8_A	0
5MAT_C	50
4ZUI_A	235
3LL8_A	32
3QSA_B	45
1JDP_A	2
2WQR_B	21
2Z9K_B	73
2V5S_B	13
3M53_A	27
1AKH_B	3
6F89_A	5
2OYM_A	4
4PBY_A	17
5MIF_A	2
2BN4_A	24
1KUG_A	6
1CJ8_A	491
1V16_A	19
2QZX_A	7
1WQP_A	491
5D9S_A	512
1CIK_A	179
5O0L_B	12
1CII_A	0
2FN1_A	6
3A9E_B	16
3CFF_A	111
4DLH_B	1
3COG_A	30
3FXJ_A	9
2QT2_A	270
3DSE_A	45
2RGO_B	2
2O66_B	17
5XCN_X	36
6EQW_A	10
1ZCE_A	4
3GHB_H	1559
3W1D_A	270
5KVV_A	11
2AR5_A	4
4P94_B	1
1RHJ_A	115
5CWD_A	0
3HRH_B	16
4BR1_B	136
3C8W_A	2
1CQF_A	5
