iteration	loss	n_p	w_0	w_1	ID	y	yhat
0	-0.3105889797977307	161	-1.0007739166632323	2.9997565929036356	5JYE_D	0.0	0.2669849020252575
1	-0.04648009275336727	29	-1.00069218804978	2.999765638926794	5BWW_B	0.0	0.04541643648874808
2	-0.7758762783292155	599	-1.0006881465353394	2.9997420877373155	2HL4_A	1.0	0.46030025308669237
3	-0.41602309559254996	1	-1.0006881465353394	2.9997420877373155	2PIG_B	1.0	0.6596650349535862
4	-0.3528534485983025	75	-1.0014393717585666	2.999626559039391	2ZVJ_A	0.0	0.29731983540516443
5	-0.06599841415820015	4	-1.0014393717585666	2.999626559039391	6CYO_A	0.0	0.06386765115174932
6	-0.3657765961040057	2010	-1.0017716622515769	2.999543255633065	2GJZ_L	0.0	0.3063422502551623
7	-0.1211543003972061	15	-1.004192104442873	2.999052805860887	2C96_A	0.0	0.11410274525195047
8	-0.6895861588655061	20	-1.003608704077556	2.998959989327925	2I7Q_A	0.0	0.4982163151674781
9	-0.04669310290405469	6	-1.003608704077556	2.998959989327925	5LHK_A	0.0	0.04561975082267808
10	-0.5499683808442525	181	-1.0038426705999481	2.998856608535453	6UDB_D	0.0	0.4230319466651885
11	-1.649597780086778	36	-1.0021755418972014	2.998581747013093	7PCS_D	1.0	0.1921271704554164
12	-1.1824817642659886	381	-1.0020220379392648	2.998654826782409	6P5B_E	1.0	0.306517090714153
13	-0.899025201257062	49	-1.0021480891562147	2.998579876058238	3UME_A	1.0	0.40696617656448314
14	-0.15887761751347468	169	-1.0017197575320782	2.9987389225367074	3B5B_B	0.0	0.14689924282733524
15	-0.7144145132647607	24	-1.0056490975492591	2.9976970396406295	6MKI_A	0.0	0.5105213888486262
16	-0.5077069159059142	30	-1.0055381318412697	2.997757164495831	4RBT_C	0.0	0.3981258543466118
17	-0.25649152084791266	44	-1.005769000619621	2.997773875940536	4G7E_B	0.0	0.22623844462643533
18	-0.6237765192826507	4	-1.005724895928168	2.9978008030103322	6FV6_A	0.0	0.46408328866327125
19	-1.2919456607112905	4	-1.0095115655621916	2.9962876843857567	3UNP_A	1.0	0.27473572023630877
20	-0.8051777122510432	17	-0.9952095083650303	2.998540786116115	1WB4_B	0.0	0.5529915193830189
21	-0.3846898007227155	0	-0.9952095083650303	2.998540786116115	1FPZ_F	0.0	0.3193382557587466
22	-0.36908975441298053	379	-0.9952226518502151	2.9985335643092665	6NJG_C	0.0	0.3086366452465983
23	-0.3846898007227155	0	-0.9952226518502151	2.9985335643092665	5T7A_B	0.0	0.3193382557587466
24	-0.7752687962690309	104	-0.9967402735919653	2.9980327735880294	3BAQ_B	1.0	0.46057996218326824
25	-0.48687031896535454	150	-0.9960239991300058	2.9982731584482267	6TDP_B	0.0	0.38545327716775957
26	-0.17029636519705746	66	-0.9984722580597073	2.997818436587811	6EE6_A	0.0	0.15658517924637388
27	-0.8051973520815652	5	-0.9985248711425592	2.9977860060622943	5MS7_A	0.0	0.55300029846761
28	-1.141530009228978	0	-0.9985248711425592	2.9977860060622943	4LQZ_A	1.0	0.31933006990717244
29	-1.141530009228978	0	-0.9985248711425592	2.9977860060622943	4A2N_B	1.0	0.31933006990717244
30	-0.3846898007227155	0	-0.9985248711425592	2.9977860060622943	2IT9_D	0.0	0.3193382557587466
31	-0.1069617436237913	10	-1.00011128792241	2.9972435604723735	4M80_A	0.0	0.10143995201598818
32	-1.077836981282661	1	-1.00011128792241	2.9972435604723735	2XT2_B	0.0	0.6596691278793733
33	-0.21732719861580968	10	-1.001584540991931	2.996806977364332	3UB5_P	0.0	0.19533335958400555
34	-0.21801637833129522	334	-1.0037549295511472	2.996267296897666	2FX4_A	0.0	0.19588772845847421
35	-0.2348816305066442	196	-1.0036867191850842	2.9963585962798915	5XLC_D	0.0	0.20933556536163625
36	-0.3467606881873499	11	-1.0023146432355872	2.9962092385915993	7BXX_B	0.0	0.29302550463691845
37	-0.3846898007227155	0	-1.0023146432355872	2.9962092385915993	2QQ8_A	0.0	0.3193382557587466
38	-0.3468969650925948	14	-1.004003706283632	2.9958710785137974	5HQM_B	1.0	0.7068781576312194
39	-0.17778725389024636	206	-1.0064382743105025	2.995120955351319	1Z89_A	0.0	0.16287950132481693
40	-0.11256903319547493	11	-1.0068286733322576	2.9949431131867725	6MM8_D	0.0	0.10646433864261642
41	-0.11254860513194018	2	-1.0068286733322576	2.9949431131867725	6NEP_B	0.0	0.10644608525291552
42	-0.3846898007227155	0	-1.0068286733322576	2.9949431131867725	3Q34_D	0.0	0.3193382557587466
43	-0.02978928307103036	44	-1.006825781816966	2.994944874049046	4D4N_A	0.0	0.02934995560273792
44	-1.0901256878409593	4	-1.0068394784606396	2.9949363862855107	4RYI_B	0.0	0.663825761962888
45	-0.12776501743833277	10	-1.0068394783864336	2.9949363863597167	1Q81_Z	0.0	0.11993984636118443
46	-0.3671078660927577	3	-1.0102977229756287	2.993430125447016	1JXO_B	0.0	0.3072650815947363
47	-0.7200488692705531	54	-1.0087043512000764	2.993757922090531	4CO7_B	1.0	0.48672846931350555
48	-1.077836981282661	1	-1.0087043512000764	2.993757922090531	2AYU_A	0.0	0.6596691278793733
49	-0.36540501717975293	471	-1.0084685895405043	2.993782021275966	5F21_B	0.0	0.3060844537618069
50	-0.8676435027443213	3	-1.0084057320482767	2.993820570524626	4H6H_D	0.0	0.5800600284264463
