iteration	loss	n_p	w_0	w_1	ID	y	yhat
0	-0.003112460804016672	29	-1.0	3.0	1U4O_A	0.0	0.0031076221192624003
1	-1.6579334442393034	10	-1.0001210226541828	2.9999265513957334	7AK0_B	1.0	0.1905323191947823
2	-0.12241153209741508	17	-1.0002341448861376	2.9998673898577746	1J3Q_B	0.0	0.1152158235184933
3	-0.015660092263010978	5	-1.0002341448861376	2.9998673898577746	4Q35_B	0.0	0.015538110596312
4	-0.09786497044018737	0	-1.0002341448861376	2.9998673898577746	3KSM_B	0.0	0.093228663577872
5	-0.04773576861822626	1	-1.0002341448861376	2.9998673898577746	6WW3_B	0.0	0.046614331788936
6	-0.00779939163352871	11	-1.0002341448861376	2.9998673898577746	5UEJ_B	0.0	0.007769055298156
7	-0.001504819795806601	61	-1.0002341448861376	2.9998673898577746	4C5D_B	0.0	0.001503688122223742
8	-0.03156932982671348	2	-1.0002341448861376	2.9998673898577746	2HFG_R	0.0	0.031076221192624
9	-0.0903404242100852	12	-1.0000518154354472	2.9998986304565	4KY3_C	0.0	0.08637988607947648
10	-0.018821755877758025	4	-1.0000518154354472	2.9998986304565	6CIK_N	0.0	0.0186457327155744
11	-0.055805502417839395	840	-1.0000094400492239	2.9999009394110288	7F07_C	0.0	0.05427694114812901
12	-0.8543757018718923	12	-1.020360890208673	2.996610731358547	2BY2_A	1.0	0.4255487774763008
13	-0.14889123927682632	8	-1.0187676693127405	2.9969391073182985	1HKD_D	0.0	0.13833717512515123
14	-0.03156932982671348	2	-1.0187676693127405	2.9969391073182985	6NMJ_B	0.0	0.031076221192624
15	-0.023583073398528238	3	-1.0187676693127405	2.9969391073182985	2H5X_D	0.0	0.023307165894468
16	-0.007295824979541412	728	-1.01875146258051	2.996941270447163	4WMG_A	0.0	0.007269275055578779
17	-0.09786497044018737	0	-1.01875146258051	2.996941270447163	1QMJ_B	0.0	0.093228663577872
18	-0.0021210811661810528	43	-1.01875146258051	2.996941270447163	2AIR_H	0.0	0.002118833263133455
19	-0.08339291942835692	71	-1.018082373990813	2.997022623468718	5UFG_A	0.0	0.08001040559131513
20	-0.03156932982671348	2	-1.018082373990813	2.997022623468718	5LU3_A	0.0	0.031076221192624
21	-0.03156932982671348	2	-1.018082373990813	2.997022623468718	3MKB_D	0.0	0.031076221192624
22	-0.003112460804016672	29	-1.018082373990813	2.997022623468718	4OTI_A	0.0	0.0031076221192624003
23	-0.0021210811661810528	43	-1.018082373990813	2.997022623468718	4KGV_D	0.0	0.002118833263133455
24	-0.11826757355245991	9	-1.0178460627920003	2.9971488313433627	4E86_L	0.0	0.11154170713470891
25	-0.010405353758341462	82	-1.0180339387784356	2.9971187635126433	6TS5_A	0.0	0.010351405344506162
26	-2.119983561520837	22	-1.0352424518324208	2.9955187221771387	4XZ2_D	1.0	0.12003360166509872
27	-0.04773576861822626	1	-1.0352424518324208	2.9955187221771387	3GIX_B	0.0	0.046614331788936
28	-2.004085742862063	30	-1.0362747163864787	2.9954700383926913	4DS8_B	1.0	0.1347834661281863
29	-0.11632292456949558	82	-1.0362162434606952	2.995509225460066	3K5E_B	0.0	0.10981228660615286
30	-0.1465946394519898	7	-1.0362506694911555	2.9954881079941615	6YPX_DDD	0.0	0.13635600632730327
31	-0.03156932982671348	2	-1.0362506694911555	2.9954881079941615	1I1D_D	0.0	0.031076221192624
32	-0.007197274010704	12	-1.0362506694911555	2.9954881079941615	5O86_A	0.0	0.007171435659836308
33	-1.7050942550717947	300	-1.0356906931169911	2.99577075486598	6ASE_A	1.0	0.1817552540134675
34	-0.05883360705591177	260	-1.035740554351785	2.9957657248575824	4P49_A	0.0	0.05713635803726623
35	-0.20750874719227808	211	-1.0386925667413216	2.9952177610071304	5N0H_B	0.0	0.18739386628008806
36	-0.00424667088237006	21	-1.0386925667413216	2.9952177610071304	3B82_F	0.0	0.00423766652626691
37	-0.208068164265442	211	-1.0416175307327133	2.994662557537232	6IBS_B	0.0	0.18784832489724215
38	-0.01817526369218643	390	-1.0416293134012744	2.994655468536096	1C6E_A	0.0	0.018011089726735374
39	-0.008511452917763904	10	-1.0416293134012744	2.994655468536096	5ZNN_B	0.0	0.00847533305253382
40	-0.03156932982671348	2	-1.0416293134012744	2.994655468536096	4MN4_D	0.0	0.031076221192624
41	-0.018821755877758025	4	-1.0416293134012744	2.994655468536096	3H2H_A	0.0	0.0186457327155744
42	-0.09786497044018737	0	-1.0416293134012744	2.994655468536096	4OQ1_A	0.0	0.093228663577872
43	-0.018821755877758025	4	-1.0416293134012744	2.994655468536096	4WWA_B	0.0	0.0186457327155744
44	-0.030403696774080377	133	-1.0416759255002048	2.99463642333379	2ZIQ_L	0.0	0.02994615311616506
45	-0.09879828744244588	51	-1.0419077130981234	2.994699735499117	6R2N_C	0.0	0.09407457387068145
46	-0.13223548911005617	23	-1.042400377451864	2.9945762040236286	2EW7_A	0.0	0.12386534938477298
47	-0.009366596280714437	9	-1.042400377451864	2.9945762040236286	3OHP_D	0.0	0.0093228663577872
48	-1.633749317997476	82	-1.0439181302029519	2.993223701858607	5K56_A	1.0	0.19519634725768356
49	-0.09517591825697826	12	-1.043318413264703	2.9934320037054	1C8F_A	0.0	0.0907870267628804
50	-0.09786497044018737	0	-1.043318413264703	2.9934320037054	2F5U_A	0.0	0.093228663577872
51	-0.004061657530267467	22	-1.043318413264703	2.9934320037054	4WZ8_C	0.0	0.004053420155559652
52	-0.03156932982671348	2	-1.043318413264703	2.9934320037054	4C5Q_H	0.0	0.031076221192624
53	-0.02687984761457063	158	-1.0437338268518377	2.993354539043326	3E3T_A	0.0	0.026521799774316755
54	-0.002456400366243939	37	-1.0437338268518377	2.993354539043326	4AW2_A	0.0	0.0024533858836282103
55	-0.7910121510001328	1	-1.0437338268518377	2.993354539043326	7EQC_J	0.0	0.546614331788936
56	-0.19536521336270504	5	-1.0442115766013031	2.9932974519826447	5ZH6_B	0.0	0.17746579728790765
57	-0.45320087672639064	2	-1.0442115766013031	2.9932974519826447	4Z8T_B	0.0	0.3644095545259573
58	-0.09122679941555976	16	-1.0422262805971696	2.9934877845075722	3PDK_B	0.0	0.08718933750384592
59	-0.09786497044018737	0	-1.0422262805971696	2.9934877845075722	1VC6_B	0.0	0.093228663577872
60	-0.3242648011215104	9	-1.0457449281583204	2.9932804232675148	6M2O_B	0.0	0.2769412497406893
61	-0.013407865559601065	6	-1.0457449281583204	2.9932804232675148	4ZLW_H	0.0	0.013318380511124571
62	-0.011722018141357246	7	-1.0457449281583204	2.9932804232675148	6SF0_D	0.0	0.011653582947234
63	-0.09786497044018737	0	-1.0457449281583204	2.9932804232675148	4QUV_B	0.0	0.093228663577872
64	-0.009813586225308481	68	-1.046059594183592	2.99323989339214	4MCP_A	0.0	0.009765590120957996
65	-0.4532781407790081	2	-1.0460494606462913	2.993246130836436	3UAI_D	0.0	0.36445866092247564
66	-0.000532877174270605	174	-1.0460494606462913	2.993246130836436	6FH5_A	0.0	0.0005327352204449829
67	-0.018821755877758025	4	-1.0460494606462913	2.993246130836436	4H9S_F	0.0	0.0186457327155744
68	-0.04773576861822626	1	-1.0460494606462913	2.993246130836436	6VEK_I	0.0	0.046614331788936
69	-0.7253993162493829	16	-1.0474209831507235	2.992628640656968	4KVI_D	1.0	0.4841312088934799
70	-0.007300557662920701	728	-1.0474047527623984	2.9926307090165496	3TXE_A	0.0	0.007273973324663099
71	-0.24676511378786223	4	-1.047400648089171	2.992633075162465	2DUP_B	0.0	0.21867580573992143
72	-0.09786497044018737	0	-1.047400648089171	2.992633075162465	2A26_C	0.0	0.093228663577872
73	-4.740996496356668	237	-1.0467040046338558	2.992997535305474	1EMY_A	1.0	0.00872994249370606
74	-0.013407865559601065	6	-1.0467040046338558	2.992997535305474	2WBW_B	0.0	0.013318380511124571
75	-0.023583073398528238	3	-1.0467040046338558	2.992997535305474	6A4W_B	0.0	0.023307165894468
76	-0.09786497044018737	0	-1.0467040046338558	2.992997535305474	3E7N_O	0.0	0.093228663577872
77	-0.007301963099111575	728	-1.0466875901909125	2.992999694060307	1FLW_A	0.0	0.007275368536768082
78	-0.008511452917763904	10	-1.0466875901909125	2.992999694060307	2QNR_B	0.0	0.00847533305253382
79	-0.003892092022305293	23	-1.0466875901909125	2.992999694060307	6M5Y_A	0.0	0.003884527649078
80	-0.026047484868449256	109	-1.0468547048567578	2.9929761045124095	3O7T_A	0.0	0.025711175466352047
81	-0.02395338025827031	122	-1.047457123825614	2.9928435495352477	5BR5_A	0.0	0.02366877499350104
82	-0.03156932982671348	2	-1.047457123825614	2.9928435495352477	3K2W_H	0.0	0.031076221192624
83	-0.03156932982671348	2	-1.047457123825614	2.9928435495352477	1DL3_B	0.0	0.031076221192624
84	-0.8613858334125946	34	-1.046307861880279	2.993036161278546	3CMR_B	1.0	0.42257605632611994
85	-0.07008295445732775	15	-1.046371403617296	2.9929988262469207	5FS6_B	0.0	0.06768352310937956
86	-0.00424667088237006	21	-1.046371403617296	2.9929988262469207	5YE7_B	0.0	0.00423766652626691
87	-0.20971399327918402	22	-1.045461698109085	2.993072956456603	4FGU_B	0.0	0.18918388833168445
88	-0.0720032566028165	25	-1.0464470072420866	2.9926814172472076	1Z4J_A	0.0	0.06947213455339606
89	-0.09541211624734441	517	-1.0467186919437343	2.9926180258891835	5OMG_A	0.0	0.09100175567970621
90	-2.4136332410950607	33	-1.045356275689517	2.993243965620067	4KM5_A	1.0	0.08948956603650698
91	-0.1597352809137628	20	-1.0453208234285967	2.9932647324787958	2OZ9_R	0.0	0.14763060244849904
92	-0.07358421780758079	29	-1.04524936282709	2.993280388790869	4HV7_X	0.0	0.07094210072270211
93	-0.111938967205874	15	-1.0474048365792923	2.992638977665925	5BYD_B	0.0	0.10590117481534296
94	-0.09786497044018737	0	-1.0474048365792923	2.992638977665925	6D0T_B	0.0	0.093228663577872
95	-0.000825372947600884	112	-1.0474048365792923	2.992638977665925	4PH4_B	0.0	0.000825032421043115
96	-0.004672331539710261	19	-1.0474048365792923	2.992638977665925	5FUJ_B	0.0	0.0046614331788936
97	-0.09786497044018737	0	-1.0474048365792923	2.992638977665925	5L37_E	0.0	0.093228663577872
98	-0.03156932982671348	2	-1.0474048365792923	2.992638977665925	3NR6_B	0.0	0.031076221192624
99	-0.018821755877758025	4	-1.0474048365792923	2.992638977665925	3ODO_B	0.0	0.0186457327155744
100	-0.0073005555365752515	728	-1.047388606161258	2.992641046130143	7A70_A	0.0	0.007273971213784537
101	-0.04773576861822626	1	-1.047388606161258	2.992641046130143	1F00_I	0.0	0.046614331788936
102	-0.00036282325822694614	256	-1.047388606161258	2.992641046130143	1TQO_A	0.0	0.00036275744582829573
103	-0.019336085727711973	406	-1.0474382330979153	2.992626030105721	4I7R_B	0.0	0.019150342729498136
104	-0.12436195988345362	212	-1.0475248986030132	2.992584354714106	7VOD_A	0.0	0.11693984932049563
105	-0.023583073398528238	3	-1.0475248986030132	2.992584354714106	3WWL_A	0.0	0.023307165894468
106	-1.7108202617290562	5	-1.046670510091213	2.993094655615363	5FHF_A	1.0	0.1807174961586124
107	-0.005192829630967859	17	-1.046670510091213	2.993094655615363	1J2G_D	0.0	0.005179370198770667
108	-0.09906629133884998	256	-1.0466349223892368	2.993102592318366	1ZMG_A	0.0	0.09431733288310193
109	-0.950263153990855	44	-1.0563365350263896	2.9905273891463597	4RNU_D	1.0	0.3866392644004896
110	-2.0305928412608423	62	-1.057867370556839	2.9899368659360728	4P3R_A	1.0	0.1312576831076229
111	-0.09786497044018737	0	-1.057867370556839	2.9899368659360728	4PC4_E	0.0	0.093228663577872
112	-3.0659350438916975	1	-1.057867370556839	2.9899368659360728	3PAJ_B	1.0	0.04661023886314893
113	-0.023583073398528238	3	-1.057867370556839	2.9899368659360728	6GAR_B	0.0	0.023307165894468
114	-0.0325051246901766	181	-1.057955392493992	2.9899204410136373	7EK8_D	0.0	0.031982510971122
115	-0.05253188079817266	1749	-1.0580248805410248	2.98989970239009	7S8G_l	0.0	0.05117592869510791
116	-0.024527196890173776	30	-1.058670743769096	2.9898097736555145	6UT1_A	0.0	0.024228849383288724
117	-0.018821755877758025	4	-1.058670743769096	2.9898097736555145	5ZCR_B	0.0	0.0186457327155744
118	-0.034168083330729196	111	-1.058904274907694	2.989752706676329	1Q6V_A	0.0	0.033590946267353754
119	-0.09786497044018737	0	-1.058904274907694	2.989752706676329	4GML_F	0.0	0.093228663577872
120	-0.11812260541655602	19	-1.0584527399033916	2.98974096579025	4TX7_A	0.0	0.11141289965589943
121	-0.023583073398528238	3	-1.0584527399033916	2.98974096579025	6H7E_B	0.0	0.023307165894468
122	-1.8790070327738193	102	-1.0612623203400766	2.9888152609520673	4NR4_B	1.0	0.1527416979815397
123	-0.21427088270381395	10	-1.0612998493762051	2.9885945007579355	6HQJ_A	0.0	0.1928702820728691
124	-0.011722018141357246	7	-1.0612998493762051	2.9885945007579355	4DRI_B	0.0	0.011653582947234
